symbol	Central_memory	Effector_memory	Gamma_delta	CD4_naive	NKT	Cytotoxic	nTreg	Th1	Th2	Exhausted	iTreg	CD8_naive	MAIT	Th17	Tr1	Tfh	Bcell	NK	Monocyte	Macrophage	DC	Neutrophil	CD8_T	CD4_T
A1CF	5.010522259	5.095277764	5.11019795	5.280813044	5.175672066	5.002560868	4.920677812	5.070343199	5.117477788	5.109500777	5.083492537	5.089967051	5.169763693	5.169400288	5.531012761	4.823342549	5.613662468	4.840071053	5.055093117	5.033974428	5.04218656	5.345458069	4.370311111	4.64708937
A2M	6.957130919	7.225374099	6.824212594	6.471705769	6.585716645	6.286602757	6.75260397	6.36395758	6.563790224	6.619729837	5.775991213	5.986982997	7.079121905	6.420703088	7.367484479	6.115474229	6.142333486	5.671740013	5.806918583	7.594651275	8.996565358	5.98007502	5.730065978	6.058757267
A4GALT	6.684824527	6.689062087	6.775673486	6.736241629	6.882241718	6.733715118	6.646031153	6.77227355	6.656402081	6.700890304	6.609669032	6.793176678	6.76781224	6.765056556	7.110470147	6.483704772	6.987707169	6.504400697	6.605347092	6.446603074	6.866959804	7.234339268	5.737488803	6.11979139
A4GNT	4.809624954	4.851371442	4.901447811	4.834448451	4.862642664	4.827276492	4.844047148	4.787727623	4.883322382	4.801000015	4.815546811	4.8256602	4.862012524	4.806636705	4.806706265	5.041766442	4.974757605	4.733571694	4.731268419	4.796575016	4.766082309	4.800627177	4.145857787	4.409725829
AAAS	7.397533316	7.492778012	7.692605285	7.68841875	7.521046488	7.752833062	7.648956267	7.643055388	7.678905272	7.44387579	7.877966526	7.532904205	7.64740538	7.531565484	7.290897508	7.707576417	7.994243072	7.624358216	7.303667928	7.571627812	7.271798084	7.807648925	6.468924537	6.891631388
AACS	7.033224025	7.085962252	7.376502681	7.104012502	6.737578382	7.19479219	6.623870943	7.181061406	7.510939195	7.018317031	7.629013124	7.384065049	6.979029403	7.250273525	6.864445325	8.103424552	6.647283369	8.079590433	7.012877212	6.925184273	7.248300656	6.503842604	6.099788867	6.56966656
AADAC	4.988244445	4.968917322	5.066550772	5.053171647	5.05068141	5.097096742	4.902142869	5.058687106	4.956884975	5.023168582	5.094641128	5.020202274	4.973095007	5.060000499	5.149179774	4.927641111	5.336573865	4.951564423	4.983912739	4.874778975	4.9473943	5.422174025	4.29489238	4.566844976
AAGAB	7.159068527	7.109374513	6.919090466	7.011964845	7.083129234	7.065852154	7.074152918	7.069188492	7.10106165	6.980704826	7.316080458	6.932968716	7.076378759	7.069407323	7.218472179	6.96004867	6.710794683	7.526873697	7.000885525	6.883339676	7.127556467	6.533840641	6.04701665	6.461421732
AAK1	5.995084721	5.916434126	6.08063545	6.02942009	5.814710281	5.62260094	6.272451997	5.988304305	6.017558459	5.976348126	6.130476321	6.21890754	5.904158454	5.930844566	6.415785997	5.123625538	5.905975474	6.177151614	6.064408357	5.952610254	5.797212059	5.771620091	5.10384453	5.438062871
AAMDC	6.713285149	6.811370348	6.927193503	6.751996423	6.819927093	6.78565256	6.824550207	6.729053171	6.7417693	6.852945274	6.624779443	6.634331331	6.82080801	6.802066142	6.365677229	6.448148588	6.665469599	6.269142449	6.735117832	6.662938006	7.337918271	7.094187926	5.743203187	6.086851945
